species,cell_id,n_obs_baseline,present_baseline,n_obs_recent,present_recent,outcome,extinction,colonization,persistence,temp_baseline,temp_recent,temp_delta,temp_baseline_max,cpi_baseline,cpi_recent,cpi_delta
Bombus barbutellus,-1_47,8.0,1,0.0,0,-1,1,0,0,9.59281063079834,11.434520721435547,1.841710090637207,21.094146728515625,0.3752500636100039,0.5560328776192203,0.18078281400921636
Bombus barbutellus,-1_49,3.0,1,0.0,0,-1,1,0,0,6.027148723602295,7.814065456390381,1.786916732788086,18.328521728515625,0.025243623038597934,0.20064790463311116,0.17540428159451324
Bombus barbutellus,-2_47,6.0,1,0.0,0,-1,1,0,0,9.104153633117676,11.134865760803223,2.030712127685547,20.967193603515625,0.3272833463860999,0.5266186569498914,0.1993353105637915
Bombus barbutellus,-2_48,0.0,0,2.0,1,2,0,1,0,10.508512496948242,12.313421249389648,1.8049087524414062,21.783599853515625,0.4651356330042588,0.6423060166357712,0.17717038363151244
Bombus barbutellus,-3_44,1.0,1,10.0,1,1,0,0,1,13.382786750793457,15.417236328125,2.034449577331543,25.058990478515625,0.7472752544821416,0.9469774342223881,0.1997021797402465
Bombus barbutellus,-3_48,1.0,1,0.0,0,-1,1,0,0,10.516944885253906,12.413270950317383,1.8963260650634766,22.965240478515625,0.4659633587654773,0.652107293179491,0.18614393441401372
Bombus barbutellus,-3_49,0.0,0,3.0,1,2,0,1,0,10.40583610534668,11.856897354125977,1.4510612487792969,20.299224853515625,0.4550568876575249,0.5974934943675893,0.14243660671006436
Bombus barbutellus,-3_50,0.0,0,1.0,1,2,0,1,0,12.523505210876465,13.663824081420898,1.1403188705444336,20.113677978515625,0.662927921206349,0.7748619630150188,0.11193404180866973
Bombus barbutellus,-4_43,0.0,0,1.0,1,2,0,1,0,16.215030670166016,17.22759437561035,1.012563705444336,24.815582275390625,1.0252891657419267,1.1246827222872415,0.09939355654531479
Bombus barbutellus,-4_44,1.0,1,4.0,1,1,0,0,1,11.997207641601562,14.058928489685059,2.061720848083496,23.489410400390625,0.6112663942030364,0.813645530046857,0.2023791358438206
Bombus barbutellus,-4_47,8.0,1,4.0,1,1,0,0,1,13.649563789367676,15.053909301757812,1.4043455123901367,26.326324462890625,0.7734621684767355,0.9113131445135038,0.1378509760367682
Bombus barbutellus,-4_48,3.0,1,0.0,0,-1,1,0,0,9.358485221862793,10.9841890335083,1.6257038116455078,21.433990478515625,0.3522486112985971,0.5118281842774793,0.15957957297888226
Bombus barbutellus,-4_50,1.0,1,0.0,0,-1,1,0,0,11.204657554626465,12.420002937316895,1.2153453826904297,19.348052978515625,0.5334694403311951,0.6527681070393011,0.11929866670810596
Bombus barbutellus,-5_43,1.0,1,2.0,1,1,0,0,1,15.957399368286133,17.255523681640625,1.2981243133544922,25.310699462890625,1.0,1.1274242713307887,0.1274242713307887
Bombus barbutellus,-5_47,1.0,1,1.0,1,1,0,0,1,11.073504447937012,12.498088836669922,1.4245843887329102,23.736724853515625,0.5205954121038932,0.6604330423031334,0.13983763019924023
Bombus barbutellus,-5_49,1.0,1,4.0,1,1,0,0,1,8.755682945251465,10.272171020507812,1.5164880752563477,18.526519775390625,0.2930773593133003,0.4419362829028479,0.1488589235895476
Bombus barbutellus,-5_50,5.0,1,3.0,1,1,0,0,1,9.462301254272461,10.608719825744629,1.146418571472168,17.179840087890625,0.36243922412832763,0.47497201440665954,0.1125327902783319
Bombus barbutellus,-6_47,8.0,1,0.0,0,-1,1,0,0,10.670647621154785,11.902288436889648,1.2316408157348633,22.519927978515625,0.4810508653488084,0.6019490966443313,0.12089823129552285
Bombus barbutellus,-6_50,1.0,1,0.0,0,-1,1,0,0,9.921079635620117,11.126441955566406,1.205362319946289,17.580230712890625,0.40747304742563434,0.5257917737052813,0.11831872627964696
Bombus barbutellus,-7_48,0.0,0,2.0,1,2,0,1,0,11.226073265075684,12.480757713317871,1.2546844482421875,21.809722900390625,0.5355716128819666,0.6587318140449765,0.12316020116300985
Bombus barbutellus,-7_49,0.0,0,12.0,1,2,0,1,0,8.275877952575684,9.84202766418457,1.5661497116088867,18.562164306640625,0.245979557551467,0.39971328223688535,0.15373372468541835
Bombus barbutellus,-7_50,0.0,0,7.0,1,2,0,1,0,9.970714569091797,11.193792343139648,1.2230777740478516,17.859527587890625,0.41234522735872353,0.5324029079179898,0.1200576805592663
Bombus barbutellus,-8_47,0.0,0,2.0,1,2,0,1,0,12.310458183288574,13.559911727905273,1.2494535446166992,23.076568603515625,0.64201516117998,0.7646618952766834,0.12264673409670335
Bombus barbutellus,-8_49,0.0,0,1.0,1,2,0,1,0,10.892032623291016,12.23859691619873,1.3465642929077148,19.325836181640625,0.502782083453704,0.6349612376831093,0.1321791542294053
Bombus barbutellus,-9_48,0.0,0,2.0,1,2,0,1,0,14.383726119995117,15.28131103515625,0.8975849151611328,22.646881103515625,0.845527762700891,0.9336349667608476,0.08810720405995653
Bombus barbutellus,0_49,1.0,1,0.0,0,-1,1,0,0,5.769981384277344,7.590302467346191,1.8203210830688477,17.961334228515625,0.0,0.17868326262122644,0.17868326262122644
Bombus barbutellus,1_49,1.0,1,0.0,0,-1,1,0,0,7.52157735824585,9.265178680419922,1.7436013221740723,19.783599853515625,0.1719371853317484,0.34308961324930387,0.17115242791755547
Bombus barbutellus,2_49,0.0,0,1.0,1,2,0,1,0,10.52103328704834,11.872958183288574,1.3519248962402344,21.988677978515625,0.46636467750991784,0.5990700301677113,0.13270535265779348
Bombus bohemicus,-1_49,16.0,1,0.0,0,-1,1,0,0,6.027148723602295,7.814065456390381,1.786916732788086,18.328521728515625,0.03263717873663166,0.25941527951944854,0.22677810078281688
Bombus bohemicus,-3_49,2.0,1,1.0,1,1,0,0,1,10.40583610534668,11.856897354125977,1.4510612487792969,20.299224853515625,0.5883376152109917,0.7724922028756741,0.1841545876646824
Bombus bohemicus,-4_47,1.0,1,0.0,0,-1,1,0,0,13.649563789367676,15.053909301757812,1.4043455123901367,26.326324462890625,1.0,1.1782258805343424,0.1782258805343424
Bombus bohemicus,-5_49,0.0,0,3.0,1,2,0,1,0,8.755682945251465,10.272171020507812,1.5164880752563477,18.526519775390625,0.3789162175707829,0.5713741420258496,0.19245792445506665
Bombus bohemicus,-5_50,1.0,1,0.0,0,-1,1,0,0,9.462301254272461,10.608719825744629,1.146418571472168,17.179840087890625,0.4685933441865931,0.6140856447343435,0.14549230054775036
Bombus bohemicus,-6_49,1.0,1,1.0,1,1,0,0,1,7.914957046508789,9.289892196655273,1.3749351501464844,16.925933837890625,0.2722194593517745,0.4467128626136346,0.17449340326186008
Bombus bohemicus,-6_50,0.0,0,5.0,1,2,0,1,0,9.921079635620117,11.126441955566406,1.205362319946289,17.580230712890625,0.5268170364791286,0.6797899045803121,0.1529728681011835
